kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
b+tree-rodinia-3.12.sm_70.ptx 100 : 163840 819200 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 99 : 163840 983040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 87 : 163840 819200 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 86 : 163840 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 85 : 163840 983040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 83 : 163840 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 82 : 163840 983040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 81 : 163840 901120 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 80 : 163840 921600 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 79 : 163840 983040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 78 : 163840 983040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 77 : 163840 1556480 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 76 : 163840 1474560 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 75 : 163840 1003520 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 74 : 163840 1515520 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 73 : 163840 1003520 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 72 : 163840 983040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 71 : 163840 1003520 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 49 : 260512 2323872 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 48 : 263104 2563744 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 47 : 263360 1830240 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 46 : 263616 1734848 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 45 : 271488 7886176 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 44 : 272512 4209600 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 43 : 273536 4311040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 42 : 274560 4327424 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 41 : 275584 4343808 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 40 : 276608 4360192 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 35 : 280480 3049408 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 34 : 281120 2687008 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 36 : 279840 3486752 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 37 : 279200 3928672 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 38 : 278496 4197024 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 39 : 277632 4376576 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 50 : 260256 1517472 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 51 : 258752 1543296 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 52 : 258208 31539200 0 0 0 8069 8069 0 0 
b+tree-rodinia-3.12.sm_70.ptx 53 : 257952 1538496 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 54 : 163840 1474560 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 55 : 163840 1474560 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 56 : 163840 1474560 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 57 : 163840 1474560 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 58 : 163840 1536000 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 59 : 163840 1231168 832 0 0 25600 5120 0 0 
b+tree-rodinia-3.12.sm_70.ptx 60 : 163840 1085440 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 61 : 163840 1536000 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 62 : 163840 1474560 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 63 : 163840 0 0 0 0 5120 5120 0 0 
b+tree-rodinia-3.12.sm_70.ptx 64 : 163840 983040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 65 : 163840 1474560 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 66 : 163840 1003520 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 67 : 163840 1495040 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 68 : 163840 1044480 0 0 0 0 0 0 0 
b+tree-rodinia-3.12.sm_70.ptx 69 : 163840 0 0 0 0 0 0 0 0 
