kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
b+tree-rodinia-3.6.sm_70.ptx 200 : 2560000 23994304 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 193 : 10000 8573924 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 178 : 10000 90852 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 177 : 10000 91213 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 171 : 643843 6112637 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 159 : 2560000 25332896 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 158 : 2560000 24100352 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 157 : 2560000 25457632 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 156 : 2560000 1779994816 0 0 0 80000 80000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 152 : 10000 70939 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 151 : 10000 5821108 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 148 : 10000 53132 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 155 : 2560000 14132256 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 147 : 2560000 13634750 0 0 0 0 0 0 10000 
b+tree-rodinia-3.6.sm_70.ptx 142 : 10000 39442 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 140 : 10000 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 139 : 10000 66138 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 138 : 10000 3005484 256 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 137 : 10000 94412 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 136 : 10000 95517 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 135 : 10000 95830 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 134 : 10000 4733751 9088 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 132 : 307148 1732086 0 0 0 0 0 0 9661 
