kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
b+tree-rodinia-3.6.sm_70.ptx 200 : 2560000 25162976 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 193 : 10000 1983756 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 178 : 10000 96375 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 177 : 10000 96560 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 171 : 643843 6189983 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 159 : 2560000 26785760 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 158 : 2560000 25349056 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 157 : 2560000 25441408 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 156 : 2560000 518959360 0 0 0 80000 80000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 152 : 10000 63334 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 151 : 10000 1979743 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 155 : 2560000 15450016 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 148 : 10000 58605 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 147 : 2560000 15145772 0 0 0 0 0 0 10000 
b+tree-rodinia-3.6.sm_70.ptx 142 : 10000 43394 0 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 140 : 10000 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 139 : 10000 71001 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 138 : 10000 451423 256 0 0 10000 10000 0 0 
b+tree-rodinia-3.6.sm_70.ptx 137 : 10000 100474 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 136 : 10000 102043 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 135 : 10000 106441 0 0 0 0 0 0 0 
b+tree-rodinia-3.6.sm_70.ptx 134 : 10000 2287322 27776 0 0 10000 10000 0 0 
