kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.6.sm_70.ptx 112 : 15104 90624 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 111 : 15744 102368 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 110 : 16000 100096 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 109 : 17920 153888 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 108 : 18944 99264 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 105 : 9424 64832 0 589 589 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 104 : 9760 85136 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 103 : 11536 248640 0 721 721 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 102 : 12080 111392 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 101 : 13040 116528 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 100 : 13744 86336 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 99 : 14448 128320 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 98 : 14736 93024 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 97 : 15504 139072 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 96 : 16080 98096 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 95 : 16176 363696 0 1011 1011 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 93 : 32864 91392 0 0 0 0 0 0 1019 
backprop-rodinia-3.6.sm_70.ptx 92 : 33920 209184 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 91 : 35296 211936 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 90 : 36480 218880 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 89 : 66688 3888480 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 88 : 69216 601632 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 85 : 78624 400448 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 84 : 78944 402208 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 83 : 79392 5697344 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 82 : 81312 416192 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 80 : 81664 0 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 79 : 83008 496000 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 78 : 100640 8999680 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 77 : 102592 515104 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 76 : 104960 520384 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 75 : 105152 324288 0 3286 3286 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 74 : 106784 946368 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 51 : 22098 208362 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 50 : 22114 141536 0 0 0 0 0 0 0 
