kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.6.sm_70.ptx 223 : 16 368 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 222 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 216 : 16 37648 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 201 : 1048576 28454752 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 200 : 1048576 240604480 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 199 : 1048576 15785536 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 198 : 1048576 16389600 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 197 : 1048576 20940960 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 196 : 1048576 10446368 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 195 : 1048576 949879872 71872 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 194 : 1048576 37186720 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 193 : 1048576 520110496 0 0 0 40960 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 192 : 1048576 43774048 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 191 : 1048576 31609632 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 190 : 1048576 566283552 0 0 0 98304 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 189 : 1048576 306238752 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 188 : 1048576 27509344 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 187 : 1048576 26255200 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 186 : 1048576 35288192 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 185 : 1048576 3560166432 3751904 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 184 : 1048576 14260896 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 183 : 1048576 21298624 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 182 : 1048576 23018848 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 181 : 1048576 27469088 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 180 : 1048576 2733290304 4456512 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 179 : 1048576 13858144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 178 : 1048576 11280384 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 177 : 1048576 8224352 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 176 : 1048576 12676384 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 175 : 1048576 1473987680 262176 0 0 40960 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 174 : 1048576 10707520 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 173 : 1048576 10043360 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 172 : 1048576 7129152 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 171 : 1048576 14362336 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 170 : 1048576 7932064 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 169 : 1048576 388695168 96 0 0 98304 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 168 : 1048576 10145184 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 167 : 1048576 10225824 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 166 : 1048576 7068640 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 165 : 1048576 11139488 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 164 : 1048576 10178304 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 163 : 1048576 8294912 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 162 : 1048576 10774560 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 161 : 1048576 10354592 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 160 : 1048576 6162624 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 159 : 1048576 6840768 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 158 : 1048576 5753856 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 157 : 1048576 13129344 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 156 : 1048576 16492064 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 155 : 1048576 17698368 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 154 : 1048576 18561568 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 153 : 1048576 18180896 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 152 : 1048576 17771040 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 132 : 1048576 5565216 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 129 : 65536 366982 0 0 0 32768 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 128 : 65536 610778 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 127 : 65536 622836 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 126 : 65536 739200 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 71 : 1048576 6558336 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 70 : 1048576 6877568 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 69 : 1048576 9956128 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 68 : 1048576 6938176 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 67 : 1048576 10025824 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 66 : 1048576 5926336 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 65 : 1048576 6644000 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 231 : 1048576 7228128 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 64 : 1048576 1028024640 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 63 : 1048576 10019456 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 62 : 1048576 9842784 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 228 : 16 48 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 61 : 1048576 6080544 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 227 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 60 : 1048576 11059296 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 226 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 59 : 1048576 9942624 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 225 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 58 : 1048576 9855264 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 224 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 57 : 1048576 7130752 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 221 : 16 848 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 54 : 65536 336112 0 32768 32768 0 0 0 0 
