kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.6.sm_70.ptx 223 : 16 368 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 222 : 16 112 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 216 : 16 3280 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 201 : 1048576 5710592 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 200 : 1048576 5837312 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 199 : 1048576 6742368 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 198 : 1048576 6894656 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 197 : 1048576 13962144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 196 : 1048576 6884768 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 195 : 1048576 111913440 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 194 : 1048576 6788896 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 193 : 1048576 27029472 0 0 0 40960 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 192 : 1048576 13970080 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 191 : 1048576 6840640 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 190 : 1048576 28490336 0 0 0 98304 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 189 : 1048576 6105440 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 188 : 1048576 6869888 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 187 : 1048576 13935168 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 186 : 1048576 6790528 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 185 : 1048576 660045088 2835936 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 184 : 1048576 9858176 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 183 : 1048576 6870176 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 182 : 1048576 13925120 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 181 : 1048576 6841376 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 180 : 1048576 706027712 4456480 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 179 : 1048576 11016608 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 178 : 1048576 10387104 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 177 : 1048576 7176192 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 176 : 1048576 7590400 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 175 : 1048576 544983424 262176 0 0 40960 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 174 : 1048576 11151616 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 173 : 1048576 10543232 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 172 : 1048576 7788768 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 171 : 1048576 14385952 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 170 : 1048576 7901664 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 169 : 1048576 76432032 96 0 0 98304 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 168 : 1048576 11815488 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 167 : 1048576 12222144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 166 : 1048576 8737856 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 165 : 1048576 13160064 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 164 : 1048576 12286432 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 163 : 1048576 8974528 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 162 : 1048576 12292096 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 161 : 1048576 12074592 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 160 : 1048576 7999840 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 159 : 1048576 8217920 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 158 : 1048576 7438816 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 157 : 1048576 13971968 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 156 : 1048576 16203808 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 155 : 1048576 15671776 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 154 : 1048576 14865888 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 153 : 1048576 13572736 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 152 : 1048576 12522656 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 132 : 1048576 7209952 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 129 : 65536 290460 0 0 0 32768 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 128 : 65536 713650 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 127 : 65536 712420 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 126 : 65536 764992 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 71 : 1048576 6764992 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 70 : 1048576 4819776 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 69 : 1048576 11071872 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 68 : 1048576 8084416 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 67 : 1048576 11124896 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 66 : 1048576 7600960 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 65 : 1048576 7908896 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 231 : 1048576 5937856 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 64 : 1048576 244089920 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 63 : 1048576 11784800 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 62 : 1048576 11164736 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 228 : 16 48 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 61 : 1048576 7992480 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 227 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 60 : 1048576 13002528 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 226 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 59 : 1048576 11216896 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 225 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 58 : 1048576 11086720 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 224 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 57 : 1048576 8171552 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 221 : 16 368 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 54 : 65536 382710 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 220 : 16 48 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 53 : 65536 11017658 0 0 0 40960 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 219 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 52 : 65536 692006 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 207 : 16 368 0 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 40 : 1048576 8258400 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 119 : 1048576 6596730 0 0 0 0 0 0 32768 
backprop-rodinia-3.6.sm_70.ptx 206 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 39 : 1048576 13330528 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 118 : 1048576 6510688 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 38 : 1048576 13588704 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 117 : 1048576 9258560 0 0 0 163840 32768 0 0 
backprop-rodinia-3.6.sm_70.ptx 204 : 1048576 6043760 0 0 0 0 0 0 1 
backprop-rodinia-3.6.sm_70.ptx 37 : 1048576 12912960 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 116 : 1048576 27899872 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 72 : 1048576 32299104 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 202 : 1048576 6808224 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 35 : 1048576 10547584 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 73 : 1048576 34786176 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 203 : 1048576 7042496 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 36 : 1048576 11638368 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 115 : 1048576 6899392 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 208 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 41 : 1048576 7933056 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 120 : 65536 458828 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 209 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 42 : 1048576 11190016 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 210 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 43 : 1048576 8079936 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 211 : 16 13328 64 0 0 3 1 0 0 
backprop-rodinia-3.6.sm_70.ptx 44 : 1048576 8346400 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 123 : 65536 481108 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 212 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 45 : 1048576 8192448 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 124 : 65536 681320 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 213 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 46 : 1048576 11227008 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 125 : 65536 1766770 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 214 : 16 192 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 47 : 1048576 8299520 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 215 : 16 176 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 48 : 1048576 7512270 0 0 0 0 0 0 32768 
backprop-rodinia-3.6.sm_70.ptx 217 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 50 : 65536 504438 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 218 : 16 1264 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 51 : 65536 693284 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 74 : 1048576 9452768 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 75 : 1048576 5249952 0 32768 32768 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 76 : 1048576 6587072 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 77 : 1048576 6876224 0 0 0 0 0 0 0 
backprop-rodinia-3.6.sm_70.ptx 78 : 1048576 113822432 0 0 0 0 0 0 0 
