kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs-rodinia-3.6.sm_70.ptx 74 : 1 0 0 0 0 1 1 0 0 
bfs-rodinia-3.6.sm_70.ptx 71 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 70 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 69 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 47 : 551520 5346048 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 46 : 555200 3489216 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 45 : 555648 3554912 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 43 : 556320 0 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 42 : 560352 3740640 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 41 : 565824 5561792 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 40 : 568896 3218784 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 39 : 569408 3441024 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 38 : 581760 13150624 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 37 : 595136 9310976 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 32 : 613408 7630976 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 31 : 614112 6718016 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 68 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 33 : 604640 9367040 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 34 : 602080 9489056 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 35 : 599456 9459680 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 36 : 597664 9426048 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 48 : 546464 140504928 392192 0 0 17077 17077 0 0 
bfs-rodinia-3.6.sm_70.ptx 49 : 346208 2661184 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 50 : 342208 2193755 0 0 0 0 0 0 1 
bfs-rodinia-3.6.sm_70.ptx 100 : 340480 2129440 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 63 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 52 : 1 5 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 53 : 1 3 0 0 0 1 1 0 0 
bfs-rodinia-3.6.sm_70.ptx 54 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 55 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 56 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 57 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 58 : 1 439 32 0 0 1 1 0 0 
bfs-rodinia-3.6.sm_70.ptx 59 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 60 : 1 0 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 62 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 64 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 65 : 1 23 0 0 0 1 1 0 0 
bfs-rodinia-3.6.sm_70.ptx 66 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 67 : 1 9 0 0 0 0 0 0 0 
