kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs-rodinia-3.6.sm_70.ptx 147 : 999999 143212058 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 146 : 999999 20973529 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 145 : 999999 114503772 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 144 : 999999 16463979 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 143 : 999999 84994273 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 142 : 999999 16191336 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 141 : 999999 62304228 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 140 : 999999 6591140 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 139 : 999999 11220553 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 138 : 999999 7945785 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 137 : 999999 6817054 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 67 : 1000000 50526950 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 66 : 1000000 137113107 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 65 : 1000000 3043482713 27392 0 0 573205 126184 0 0 
bfs-rodinia-3.6.sm_70.ptx 64 : 1000000 222599103 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 62 : 1000000 72369321 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 60 : 1000000 0 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 59 : 1000000 172343642 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 58 : 1000000 10027364014 18277088 0 0 573205 126184 0 0 
bfs-rodinia-3.6.sm_70.ptx 57 : 1000000 178425875 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 56 : 1000000 98068663 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 135 : 12000000 59390710 0 0 0 0 0 0 126183 
bfs-rodinia-3.6.sm_70.ptx 55 : 1000000 67168481 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 134 : 12000000 77002656 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 54 : 1000000 154889500 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 133 : 12000000 28946570048 5689600 0 0 375000 375000 0 0 
bfs-rodinia-3.6.sm_70.ptx 53 : 1000000 1424543002 0 0 0 126184 126184 0 0 
bfs-rodinia-3.6.sm_70.ptx 132 : 12000000 113711872 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 52 : 1000000 65086963 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 131 : 12000000 77075296 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 63 : 1000000 74779777 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 100 : 12005376 73375232 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 50 : 12000000 151646611 0 0 0 0 0 0 126184 
bfs-rodinia-3.6.sm_70.ptx 49 : 12000000 285511680 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 128 : 12005376 28352 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 48 : 12000000 16160951776 5492672 0 0 375000 375000 0 0 
bfs-rodinia-3.6.sm_70.ptx 127 : 12005376 73410816 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 36 : 12005376 192702912 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 35 : 12005376 192825952 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 34 : 12005376 193659040 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 33 : 12005376 192727776 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 68 : 1000000 112831852 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 31 : 12005376 151394112 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 32 : 12005376 165720480 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 37 : 12005376 191170304 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 38 : 12005376 284957824 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 39 : 12005376 74540352 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 118 : 12005376 133797728 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 40 : 12005376 70596160 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 119 : 12005376 151755520 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 41 : 12005376 119504832 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 120 : 12005376 189867712 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 42 : 12005376 81316672 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 121 : 12005376 192052352 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 43 : 12005376 27936 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 122 : 12005376 190928288 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 45 : 12000000 77733792 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 124 : 12005376 73506560 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 46 : 12000000 78354560 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 125 : 12005376 69090272 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 47 : 12000000 118038848 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 126 : 12005376 118693280 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 69 : 1000000 70555543 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 70 : 1000000 69676215 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 71 : 1000000 106482731 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 150 : 12005376 125609728 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 74 : 5999970 24482326059 47733152 0 0 5595611 1042790 0 0 
