kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs-rodinia-3.6.sm_70.ptx 147 : 999999 7540920 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 146 : 999999 6355260 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 145 : 999999 7244025 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 144 : 999999 6969320 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 143 : 999999 6840239 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 142 : 999999 10019559 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 141 : 999999 5986784 0 0 0 126183 126183 0 0 
bfs-rodinia-3.6.sm_70.ptx 140 : 999999 6727173 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 139 : 999999 9874810 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 138 : 999999 6854195 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 137 : 999999 6780774 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 67 : 1000000 9586609 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 66 : 1000000 7355026 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 65 : 1000000 56511196 96 0 0 573205 126184 0 0 
bfs-rodinia-3.6.sm_70.ptx 64 : 1000000 10875149 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 62 : 1000000 6408135 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 60 : 1000000 0 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 59 : 1000000 7267860 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 58 : 1000000 972425115 18302016 0 0 573205 126184 0 0 
