kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian-rodinia-3.6.sm_70.ptx 139 : 1025 3075 0 0 0 190 65 0 0 
gaussian-rodinia-3.6.sm_70.ptx 138 : 1025 9225 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 137 : 1025 551813 0 0 0 190 65 0 0 
gaussian-rodinia-3.6.sm_70.ptx 136 : 1025 9225 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 135 : 1025 9225 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 134 : 1025 9225 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 133 : 1025 65816 0 0 0 1025 65 0 0 
gaussian-rodinia-3.6.sm_70.ptx 132 : 1025 1018622 0 0 0 65 65 0 0 
gaussian-rodinia-3.6.sm_70.ptx 131 : 1025 9225 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 130 : 1025 9225 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 129 : 1025 9225 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 60 : 1227 31743 0 0 0 1227 42 0 0 
gaussian-rodinia-3.6.sm_70.ptx 59 : 1227 11043 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 58 : 1227 53988 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 57 : 1227 419862 0 0 0 1227 42 0 0 
gaussian-rodinia-3.6.sm_70.ptx 56 : 1227 236208 0 0 0 42 42 0 0 
gaussian-rodinia-3.6.sm_70.ptx 55 : 1227 11043 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 54 : 1227 7362 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 53 : 1227 11043 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 52 : 1227 7362 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 51 : 1227 11694 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 50 : 1227 11267 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 49 : 1227 7362 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 128 : 1025 6150 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 48 : 1227 11043 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 84 : 259584 3277344 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 47 : 1227 7362 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 126 : 211160 1050707 0 0 0 0 0 0 65 
gaussian-rodinia-3.6.sm_70.ptx 83 : 259584 2847168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 46 : 1227 7362 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 125 : 211160 1266960 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 82 : 259584 2528064 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 45 : 1227 11043 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 124 : 211160 4592638 0 0 0 116035 6708 0 0 
gaussian-rodinia-3.6.sm_70.ptx 44 : 1227 11043 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 123 : 211160 1900440 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 33 : 1536 8768 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 112 : 230940 2103072 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 32 : 1536 9984 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 111 : 231216 2098284 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 31 : 1536 18592 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 110 : 233512 2080944 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 30 : 1536 14240 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 109 : 235736 2101608 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 28 : 1536 5568 0 0 0 0 0 0 0 
