kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian-rodinia-3.6.sm_70.ptx 139 : 21528 64584 0 0 0 3874 1443 0 0 
gaussian-rodinia-3.6.sm_70.ptx 138 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 137 : 21528 10210790 0 0 0 3874 1443 0 0 
gaussian-rodinia-3.6.sm_70.ptx 136 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 135 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 134 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 133 : 21528 1094277 0 0 0 21528 1443 0 0 
gaussian-rodinia-3.6.sm_70.ptx 132 : 21528 13971249 0 0 0 1443 1443 0 0 
gaussian-rodinia-3.6.sm_70.ptx 131 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 130 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 129 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 60 : 21528 459947 0 0 0 21528 777 0 0 
gaussian-rodinia-3.6.sm_70.ptx 59 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 58 : 21528 947232 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 57 : 21528 6336486 0 0 0 21528 777 0 0 
gaussian-rodinia-3.6.sm_70.ptx 56 : 21528 4140963 0 0 0 777 777 0 0 
gaussian-rodinia-3.6.sm_70.ptx 55 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 54 : 21528 129168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 53 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 52 : 21528 129168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 51 : 21528 203551 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 50 : 21528 196848 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 49 : 21528 129168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 128 : 21528 129168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 48 : 21528 193752 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 84 : 8955648 113055648 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 47 : 21528 129168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 126 : 2999568 14890704 0 0 0 0 0 0 1443 
gaussian-rodinia-3.6.sm_70.ptx 83 : 8955648 100508128 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 46 : 21528 129168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 125 : 2999568 17997408 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 82 : 8955648 86266336 0 0 0 0 0 0 0 
