kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hotspot-rodinia-3.6.sm_70.ptx 104 : 540 1844 0 17 17 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 103 : 20360 150264 0 0 0 3790 648 0 0 
hotspot-rodinia-3.6.sm_70.ptx 102 : 21292 246668 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 101 : 21900 132216 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 100 : 22216 150972 0 708 708 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 99 : 173572 10762992 157248 0 0 32442 5471 0 0 
hotspot-rodinia-3.6.sm_70.ptx 98 : 175832 1603520 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 107 : 3264 21888 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 97 : 178552 1736740 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 96 : 178840 1257088 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 93 : 179000 1115856 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 92 : 183616 28968 0 0 0 0 0 0 134 
hotspot-rodinia-3.6.sm_70.ptx 91 : 183808 1722112 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 90 : 185952 1700256 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 89 : 187712 1023552 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 88 : 188128 1690336 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 87 : 190400 1161280 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 86 : 190624 1716480 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 85 : 192032 1028448 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 84 : 192320 1146880 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 63 : 218208 2035200 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 62 : 219904 1228256 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 61 : 227872 7657536 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 60 : 228992 3528032 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 59 : 230016 3614560 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 58 : 231040 3631104 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 57 : 232064 3647488 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 56 : 233088 3663872 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 55 : 234112 3680256 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 54 : 235136 3696640 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 49 : 238976 2575840 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 48 : 239648 2293472 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 50 : 238368 2949568 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 51 : 237696 3348832 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 52 : 236992 3559808 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 53 : 236160 3713088 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 64 : 217952 1397760 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 65 : 215904 1920128 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 66 : 213344 1920928 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 67 : 213152 1256736 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 68 : 211712 1906976 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 69 : 209216 1889632 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 70 : 208864 1115968 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 71 : 207456 1877888 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 72 : 207264 1258464 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 73 : 205760 1832256 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 74 : 203392 2140960 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 75 : 203232 1432512 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 76 : 202976 1988608 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 77 : 200032 1196672 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 78 : 198688 1185440 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 79 : 198464 1183808 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 80 : 198112 1763680 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 81 : 195680 1166496 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 82 : 194272 1155904 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 83 : 192608 1147360 0 0 0 0 0 0 0 
