kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hotspot-rodinia-3.6.sm_70.ptx 242 : 1048576 75555360 0 0 0 175104 44032 0 0 
hotspot-rodinia-3.6.sm_70.ptx 241 : 1048576 11586576 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 245 : 1893376 14840288 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 240 : 1048576 13103560 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 239 : 1048576 48311104 0 44032 44032 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 238 : 1048576 10238064 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 236 : 1893376 6455856 0 0 0 0 0 0 44032 
hotspot-rodinia-3.6.sm_70.ptx 235 : 1893376 14015520 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 234 : 1893376 12924928 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 231 : 1893376 13206144 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 230 : 1893376 15299136 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 125 : 1893376 0 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 124 : 1893376 16117728 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 123 : 1893376 22287168 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 122 : 1893376 22214976 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 121 : 1893376 14739040 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 120 : 1893376 16416416 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 119 : 1893376 17088512 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 118 : 1893376 21810880 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 117 : 1893376 22933024 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 116 : 1893376 22929504 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 115 : 1893376 21831008 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 114 : 1893376 17209888 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 113 : 1893376 16919040 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 112 : 1893376 23258656 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 111 : 1893376 23137408 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 110 : 1893376 22853888 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 109 : 1893376 22101600 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 108 : 1893376 15397728 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 104 : 1860496 417395524 0 58652 58652 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 103 : 1860496 4722799532 2529920 0 0 347820 58652 0 0 
hotspot-rodinia-3.6.sm_70.ptx 102 : 1860496 35384716 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 101 : 1860496 29126184 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 100 : 1860496 714390828 0 58652 58652 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 99 : 1860496 4555884336 4194304 0 0 347820 58652 0 0 
hotspot-rodinia-3.6.sm_70.ptx 107 : 1893376 24434112 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 98 : 1860496 39204348 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 97 : 1860496 33974992 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 96 : 1860496 28315676 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 93 : 1860496 28315052 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 92 : 1893376 372548 0 0 0 0 0 0 1364 
hotspot-rodinia-3.6.sm_70.ptx 91 : 1893376 35362752 0 0 0 0 0 0 0 
