kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hotspot-rodinia-3.6.sm_70.ptx 242 : 1048576 6115928 0 0 0 175104 44032 0 0 
hotspot-rodinia-3.6.sm_70.ptx 241 : 1048576 12173368 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 245 : 1893376 14644160 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 240 : 1048576 10907432 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 239 : 1048576 26942912 0 44032 44032 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 238 : 1048576 7957416 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 236 : 1893376 6411376 0 0 0 0 0 0 44032 
hotspot-rodinia-3.6.sm_70.ptx 235 : 1893376 14372672 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 234 : 1893376 14238432 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 231 : 1893376 15708448 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 230 : 1893376 16638784 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 125 : 1893376 0 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 124 : 1893376 15014752 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 123 : 1893376 20499456 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 122 : 1893376 21749504 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 121 : 1893376 15030880 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 120 : 1893376 15298592 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 119 : 1893376 16866464 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 118 : 1893376 21479744 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 117 : 1893376 21523552 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 116 : 1893376 22663072 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 115 : 1893376 21460352 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 114 : 1893376 16937376 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 113 : 1893376 16088800 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 112 : 1893376 22169600 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 111 : 1893376 22024352 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 110 : 1893376 21891904 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 109 : 1893376 21078816 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 108 : 1893376 14369344 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 104 : 1860496 10094856 0 58652 58652 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 103 : 1860496 581484752 3014656 0 0 347820 58652 0 0 
hotspot-rodinia-3.6.sm_70.ptx 102 : 1860496 20545424 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 101 : 1860496 14825880 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 100 : 1860496 10255256 0 58652 58652 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 99 : 1860496 593600436 4194304 0 0 347820 58652 0 0 
hotspot-rodinia-3.6.sm_70.ptx 98 : 1860496 20938076 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 107 : 1893376 14813088 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 97 : 1860496 20788504 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 96 : 1860496 15565440 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 93 : 1860496 15370052 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 92 : 1893376 244912 0 0 0 0 0 0 1364 
hotspot-rodinia-3.6.sm_70.ptx 91 : 1893376 21142816 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 90 : 1893376 22316800 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 89 : 1893376 15494720 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 88 : 1893376 21252224 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 87 : 1893376 15603360 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 86 : 1893376 21121888 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 85 : 1893376 15198816 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 84 : 1893376 15340928 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 63 : 1893376 21436416 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 62 : 1893376 14591168 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 229 : 1893376 21335872 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 61 : 1893376 25070144 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 228 : 1893376 14437472 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 60 : 1893376 28714496 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 59 : 1893376 28774400 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 58 : 1893376 28724128 0 0 0 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 225 : 1425636 6358151 0 58652 58652 0 0 0 0 
hotspot-rodinia-3.6.sm_70.ptx 57 : 1893376 28622048 0 0 0 0 0 0 0 
