kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
lud-rodinia-3.10.sm_62.ptx 1526 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1525 : 107776 646656 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1524 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1523 : 107776 592768 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1522 : 107776 646656 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1521 : 107776 42950048 0 0 0 13472 3368 0 0 
lud-rodinia-3.10.sm_62.ptx 1520 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1519 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1518 : 107776 1077760 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1517 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1516 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1515 : 107776 552352 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1514 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1513 : 107776 646656 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1512 : 107776 579296 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1511 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1510 : 107776 969984 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1509 : 107776 606240 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1508 : 107776 781376 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1507 : 107776 579296 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1506 : 107776 821792 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1505 : 107776 1252896 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1504 : 107776 1064288 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1503 : 107776 875680 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1485 : 928 4640 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1482 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1481 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1480 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1479 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1478 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1477 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1476 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1475 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1474 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1473 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1472 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1471 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1470 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1469 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1468 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1467 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1466 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1465 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1464 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1463 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1462 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1461 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1460 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1459 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1458 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1457 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1456 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1455 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1454 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1453 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1452 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1451 : 464 1392 0 0 0 58 29 0 0 
lud-rodinia-3.10.sm_62.ptx 1450 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1449 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1448 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1447 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1446 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1445 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1444 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1443 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1442 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1441 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1440 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1439 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1438 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1437 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1436 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1435 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1434 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1433 : 464 4176 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1432 : 464 11136 0 29 29 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1431 : 464 4640 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1430 : 464 4176 0 0 0 0 0 0 0 
