kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
lud-rodinia-3.10.sm_62.ptx 1526 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1525 : 317440 1909632 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1524 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1523 : 317440 1714496 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1522 : 317440 1909632 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1521 : 317440 103174624 0 0 0 39680 9920 0 0 
lud-rodinia-3.10.sm_62.ptx 1520 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1519 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1518 : 317440 3174400 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1517 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1516 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1515 : 317440 1631552 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1514 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1513 : 317440 1909632 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1512 : 317440 1752128 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1511 : 317440 2887008 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1510 : 317440 2856960 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1509 : 317440 1754592 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1508 : 317440 2296352 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1507 : 317440 1711648 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1506 : 317440 2425888 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1505 : 317440 3715712 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1504 : 317440 3170752 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1503 : 317440 2532992 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1485 : 3840 19200 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1482 : 1920 5760 0 0 0 240 120 0 0 
lud-rodinia-3.10.sm_62.ptx 1481 : 1920 17280 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1480 : 1920 5760 0 0 0 240 120 0 0 
lud-rodinia-3.10.sm_62.ptx 1479 : 1920 17280 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1478 : 1920 5760 0 0 0 240 120 0 0 
lud-rodinia-3.10.sm_62.ptx 1477 : 1920 17280 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1476 : 1920 5760 0 0 0 240 120 0 0 
