kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
myocyte-rodinia-3.5.sm_62.ptx 4884 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4882 : 1 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4881 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4880 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4526 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4525 : 1 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4524 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4523 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4514 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4513 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4512 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 4511 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2292 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2291 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2290 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2289 : 1 13 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2288 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2183 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2182 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 254 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 253 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5455 : 13 78 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5453 : 13 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5452 : 13 78 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5451 : 13 78 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5099 : 13 65 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5098 : 13 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5097 : 13 78 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5096 : 13 78 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5087 : 9 54 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5086 : 9 54 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5085 : 9 54 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5084 : 9 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2383 : 16 80 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2382 : 16 96 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2381 : 16 96 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2380 : 16 208 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2379 : 16 96 0 0 0 0 0 0 0 
