kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
myocyte-rodinia-3.5.sm_62.ptx 150 : 7 49 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 149 : 7 35 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5455 : 93 558 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5453 : 93 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5452 : 93 558 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5451 : 93 558 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5099 : 93 465 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5098 : 93 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5097 : 93 558 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5096 : 93 558 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5087 : 42 252 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5086 : 42 252 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5085 : 42 252 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5084 : 42 210 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2383 : 96 480 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2382 : 96 576 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2381 : 96 576 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2380 : 96 1248 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2379 : 96 576 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2224 : 96 576 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2223 : 96 480 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 288 : 45 315 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 287 : 45 225 0 0 0 0 0 0 0 
