kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nn-rodinia-3.6.sm_70.ptx 57 : 42764 128772 0 0 0 5346 1337 0 0 
nn-rodinia-3.6.sm_70.ptx 56 : 42764 4490220 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 55 : 42764 256648 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 54 : 42764 384940 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 53 : 42764 384876 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 52 : 42764 1027636 0 0 0 10691 1337 0 0 
nn-rodinia-3.6.sm_70.ptx 51 : 42764 384876 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 60 : 43008 215040 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 50 : 42764 29534592 0 0 0 10691 1337 0 0 
nn-rodinia-3.6.sm_70.ptx 49 : 42764 384876 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 48 : 42764 390220 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 47 : 42764 395564 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 46 : 42764 411596 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 34 : 43008 741888 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 33 : 43008 639744 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 32 : 43008 623616 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 31 : 43008 542976 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 29 : 43008 419328 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 30 : 43008 467712 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 35 : 43008 241920 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 36 : 43008 225792 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 37 : 43008 456960 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 38 : 43008 306432 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 39 : 43008 327936 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 40 : 43008 430080 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 41 : 43008 263392 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 42 : 43008 1220 0 0 0 0 0 0 1 
nn-rodinia-3.6.sm_70.ptx 44 : 42764 288648 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 45 : 42764 272616 0 0 0 0 0 0 0 
