kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nw-rodinia-3.6.sm_70.ptx 680 : 25568 127840 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 679 : 25568 76704 0 0 0 4794 1598 0 0 
nw-rodinia-3.6.sm_70.ptx 678 : 25584 230112 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 677 : 25584 76752 0 0 0 3198 1599 0 0 
nw-rodinia-3.6.sm_70.ptx 676 : 25584 230256 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 675 : 25584 76752 0 0 0 4797 1599 0 0 
nw-rodinia-3.6.sm_70.ptx 674 : 25600 230256 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 673 : 25600 76800 0 0 0 4800 1600 0 0 
nw-rodinia-3.6.sm_70.ptx 672 : 25600 230400 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 671 : 25600 76800 0 0 0 4800 1600 0 0 
nw-rodinia-3.6.sm_70.ptx 670 : 25632 230400 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 669 : 25632 76896 0 0 0 4806 1602 0 0 
nw-rodinia-3.6.sm_70.ptx 668 : 25648 230688 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 667 : 25664 76944 0 0 0 4812 1604 0 0 
nw-rodinia-3.6.sm_70.ptx 666 : 25712 230976 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 665 : 25712 77136 0 0 0 4821 1607 0 0 
nw-rodinia-3.6.sm_70.ptx 664 : 25744 231408 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 663 : 25744 77184 0 0 0 4827 1609 0 0 
nw-rodinia-3.6.sm_70.ptx 662 : 25792 231696 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 661 : 25808 77376 0 0 0 3226 1613 0 0 
nw-rodinia-3.6.sm_70.ptx 660 : 25824 232272 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 659 : 25824 77472 0 0 0 4842 1614 0 0 
nw-rodinia-3.6.sm_70.ptx 658 : 25968 232416 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 657 : 26000 77904 0 0 0 4875 1625 0 0 
nw-rodinia-3.6.sm_70.ptx 656 : 26048 234000 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 655 : 26048 78144 0 0 0 4884 1628 0 0 
nw-rodinia-3.6.sm_70.ptx 654 : 26048 234432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 653 : 26048 78144 0 0 0 4884 1628 0 0 
nw-rodinia-3.6.sm_70.ptx 652 : 26064 234432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 651 : 26064 78192 0 0 0 4887 1629 0 0 
nw-rodinia-3.6.sm_70.ptx 650 : 26128 234576 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 649 : 26176 78384 0 0 0 4908 1636 0 0 
nw-rodinia-3.6.sm_70.ptx 648 : 26176 651200 0 1636 1636 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 647 : 26208 651200 0 1638 1638 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 646 : 26208 651200 0 1638 1638 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 645 : 26208 651200 0 1638 1638 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 644 : 26208 625152 0 1638 1638 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 643 : 26208 625152 0 1638 1638 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 642 : 26208 625152 0 1638 1638 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 641 : 26224 625152 0 1639 1639 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 640 : 26240 625536 0 1640 1640 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 639 : 26256 625536 0 1641 1641 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 638 : 26272 625536 0 1642 1642 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 637 : 26272 625536 0 1642 1642 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 636 : 26288 625536 0 1643 1643 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 635 : 26288 625536 0 1643 1643 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 634 : 26288 625536 0 1643 1643 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 633 : 26288 235872 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 632 : 26352 628224 0 1647 1647 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 631 : 26352 236592 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 630 : 26368 237168 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 629 : 26400 237312 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 628 : 26416 237600 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 627 : 26416 158400 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 626 : 26432 158496 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 625 : 26432 52864 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 624 : 26432 132160 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 621 : 1652 4956 0 1652 1652 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 620 : 1652 29736 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 619 : 1652 29736 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 618 : 1652 14868 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 617 : 1652 39648 0 1652 1652 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 616 : 1652 14868 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 615 : 1652 39648 0 1652 1652 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 614 : 1652 14868 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 613 : 1652 39648 0 1652 1652 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 612 : 1652 39648 0 1652 1652 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 610 : 26432 123900 0 0 0 0 0 0 1652 
nw-rodinia-3.6.sm_70.ptx 609 : 26432 132160 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 606 : 3304 9912 0 1652 1652 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 605 : 3304 59472 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 604 : 3306 59472 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 603 : 3306 29754 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 602 : 3306 79344 0 1653 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 601 : 3306 29754 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 600 : 3306 79344 0 1653 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 599 : 3306 29754 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 598 : 3306 79344 0 1653 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 597 : 3306 79344 0 1653 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 595 : 26448 115710 0 0 0 0 0 0 1653 
nw-rodinia-3.6.sm_70.ptx 594 : 26448 132240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 591 : 4959 19836 0 3306 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 590 : 4959 89262 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 589 : 4959 89262 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 588 : 4959 44631 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 587 : 4959 123975 0 3306 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 586 : 4959 44631 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 585 : 4959 123975 0 3306 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 584 : 4959 44631 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 583 : 4959 123975 0 3306 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 582 : 4959 119016 0 1653 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 580 : 26448 107445 0 0 0 0 0 0 1653 
nw-rodinia-3.6.sm_70.ptx 579 : 26448 132240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 576 : 6612 26448 0 3306 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 575 : 6612 119016 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 574 : 6612 119016 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 573 : 6612 59508 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 572 : 6612 165300 0 3306 1653 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 571 : 6612 59508 0 0 0 0 0 0 0 
