kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nw-rodinia-3.6.sm_70.ptx 1348 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1347 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1346 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1345 : 130048 390144 0 0 0 16256 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1344 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1343 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1342 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1341 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1340 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1339 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1338 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1337 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1336 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1335 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1334 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1333 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1332 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1331 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1330 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1329 : 130048 390144 0 0 0 16256 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1328 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1327 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1326 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1325 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1324 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1323 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1322 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1321 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1320 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1319 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1318 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1317 : 130048 390144 0 0 0 24384 8128 0 0 
nw-rodinia-3.6.sm_70.ptx 1316 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1315 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1314 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1313 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1312 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1311 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1310 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1309 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1308 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1307 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1306 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1305 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1304 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1303 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1302 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1301 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1300 : 130048 3121152 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1299 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1298 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1297 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1296 : 130048 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1295 : 130048 780288 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1294 : 130048 780288 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1293 : 130048 260096 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1292 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1289 : 8128 24384 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1288 : 8128 146304 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1287 : 8128 146304 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1286 : 8128 73152 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1285 : 8128 195072 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1284 : 8128 73152 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1283 : 8128 195072 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1282 : 8128 73152 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1281 : 8128 195072 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1280 : 8128 195072 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1278 : 130048 609600 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1277 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1274 : 16256 48768 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1273 : 16256 292608 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1272 : 16256 292608 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1271 : 16256 146304 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1270 : 16256 390144 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1269 : 16256 146304 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1268 : 16256 390144 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1267 : 16256 146304 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1266 : 16256 390144 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1265 : 16256 390144 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1263 : 130048 568960 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1262 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1259 : 24384 97536 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1258 : 24384 438912 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1257 : 24384 438912 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1256 : 24384 219456 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1255 : 24384 609600 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1254 : 24384 219456 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1253 : 24384 609600 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1252 : 24384 219456 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1251 : 24384 609600 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1250 : 24384 585216 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1248 : 130048 528320 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1247 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1244 : 32512 130048 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1243 : 32512 585216 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1242 : 32512 585216 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1241 : 32512 292608 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1240 : 32512 812800 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1239 : 32512 292608 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1238 : 32512 812800 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1237 : 32512 292608 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1236 : 32512 812800 0 16256 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1235 : 32512 780288 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1233 : 130048 487680 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1232 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1229 : 40640 203200 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1228 : 40640 731520 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1227 : 40640 731520 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1226 : 40640 365760 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1225 : 40640 1056640 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1224 : 40640 365760 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1223 : 40640 1056640 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1222 : 40640 365760 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1221 : 40640 1056640 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1220 : 40640 975360 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1218 : 130048 447040 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1217 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1214 : 48768 243840 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1213 : 48768 877824 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1212 : 48768 877824 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1211 : 48768 438912 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1210 : 48768 1267968 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1209 : 48768 438912 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1208 : 48768 1267968 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1207 : 48768 438912 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1206 : 48768 1316736 0 24384 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1205 : 48768 1219200 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1203 : 130048 406400 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1202 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1199 : 56896 341376 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1198 : 56896 1024128 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1197 : 56896 1024128 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1196 : 56896 512064 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1195 : 56896 1536192 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1194 : 56896 512064 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1193 : 56896 1536192 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1192 : 56896 512064 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1191 : 56896 1593088 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1190 : 56896 1422400 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1188 : 130048 365760 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1187 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1184 : 65024 390144 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1183 : 65024 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1182 : 65024 1170432 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1181 : 65024 585216 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1180 : 65024 1755648 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1179 : 65024 585216 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1178 : 65024 1755648 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1177 : 65024 585216 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1176 : 65024 1885696 0 32512 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1175 : 65024 1690624 0 8128 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1173 : 130048 325120 0 0 0 0 0 0 8128 
nw-rodinia-3.6.sm_70.ptx 1172 : 130048 650240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1169 : 73152 512064 0 40640 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1168 : 73152 1316736 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1167 : 73152 1316736 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1166 : 73152 658368 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1165 : 73152 2048256 0 40640 8128 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1164 : 73152 658368 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 1163 : 73152 2048256 0 40640 8128 0 0 0 0 
