kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v1-rodinia-3.6.sm_70.ptx 104 : 6016 28160 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 101 : 6176 17792 0 0 0 772 193 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 100 : 7104 61760 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 99 : 7648 42624 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 98 : 7744 63072 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 97 : 9728 178368 0 0 0 1216 304 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 96 : 9856 28448 0 0 0 1232 308 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 95 : 179168 1610656 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 94 : 182400 1092736 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 93 : 182848 2540384 0 0 0 22856 5714 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 92 : 188576 1997760 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 91 : 194240 2048160 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 90 : 194816 1484000 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 88 : 195360 0 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 87 : 199488 1210528 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 86 : 202816 1211328 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 85 : 207904 1999232 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 84 : 210976 1195072 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 83 : 211520 1269888 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 44 : 229916 1379496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 81 : 226112 3489792 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 43 : 229916 2069244 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 80 : 227200 3503168 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 42 : 229916 10116432 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 79 : 229056 2850304 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 41 : 229916 189843812 0 0 0 28740 7185 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 78 : 229568 2509824 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 40 : 229916 2586492 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 39 : 229916 2514652 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 38 : 229916 1824904 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 36 : 230400 2424 0 0 0 0 0 0 1 
srad_v1-rodinia-3.6.sm_70.ptx 35 : 230400 1511712 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 34 : 230400 1411200 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 29 : 230400 2880000 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 28 : 230400 2505600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 30 : 230400 2232000 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 31 : 230400 1411200 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 32 : 230400 1368000 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 33 : 230400 2275200 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 45 : 229916 1149868 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 82 : 218688 3431168 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 46 : 229916 1379496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 47 : 229916 1149868 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 48 : 229916 1379496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 49 : 229916 2069244 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 50 : 229916 24141692 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 51 : 229916 2069244 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 52 : 229916 24141436 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 53 : 229916 2069244 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 54 : 229916 1379496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 55 : 229916 1379496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 56 : 229916 1379496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 57 : 229916 1379496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 58 : 229916 690740 0 0 0 28740 7185 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 61 : 230400 1152032 0 0 0 0 0 0 0 
