kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v1-rodinia-3.6.sm_70.ptx 984 : 3218824 9662584 0 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 983 : 3218824 19312944 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 982 : 3218824 19312944 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 981 : 3218824 19312944 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 980 : 3218824 41844712 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 979 : 3218824 19312944 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 978 : 3218824 19312944 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 977 : 3218824 3260487268 0 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 976 : 3218824 28982920 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 975 : 3218824 19312944 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 974 : 3218824 3802110872 0 0 0 502754 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 973 : 3218824 3638274072 320 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 972 : 3218824 28969416 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 971 : 3218824 19312944 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 970 : 3218824 19331728 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 969 : 3218824 2449249136 416 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 968 : 3218824 28969416 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 967 : 3218824 19323248 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 966 : 3218824 19363568 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 965 : 3218824 28993096 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 964 : 3218824 5023907168 0 0 0 502544 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 963 : 3218824 6573710484 448 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 962 : 3218824 166951176 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 961 : 3218824 66615152 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 960 : 3218824 5611572736 256 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 959 : 3218824 47355112 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 958 : 3218824 3742462840 448 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 957 : 3218824 43478600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 956 : 3218824 38149064 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 955 : 3218824 28479504 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 954 : 3218824 39084264 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 953 : 3218824 32425160 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 952 : 3218824 35518320 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 951 : 3218824 4515693684 0 0 0 100996 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 987 : 3225600 16129440 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 950 : 3218824 29587592 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 949 : 3218824 29066600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 948 : 3218824 19429520 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 947 : 3218824 29522024 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 946 : 3218824 29330792 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 945 : 3218824 33062544 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 944 : 3218824 7073285688 0 0 0 479178 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 943 : 3218824 32246344 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 942 : 3218824 32546312 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 941 : 3218824 25033424 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 940 : 3218824 25491216 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 939 : 3218824 34156936 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 938 : 3218824 24696016 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 937 : 3218824 32320008 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 936 : 3218824 504495728 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 935 : 3218824 19333136 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 934 : 3218824 19458576 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 933 : 3218824 23732208 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 932 : 3218824 33656840 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 931 : 3218824 23585968 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 929 : 3225600 35688 0 0 0 0 0 0 14 
srad_v1-rodinia-3.6.sm_70.ptx 928 : 3225600 20069824 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 927 : 3225600 19550848 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 926 : 3225600 31863328 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 925 : 3225600 18542400 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 924 : 3225600 19698656 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 923 : 3225600 119593856 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 922 : 3225600 51310624 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 921 : 3225600 51609600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 920 : 3225600 51609600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 919 : 3225600 51609600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 918 : 3225600 51609600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 917 : 3225600 51609600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 916 : 3225600 51609600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 915 : 3225600 51609600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 914 : 3225600 51061152 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 913 : 3225600 40852000 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 912 : 3225600 35699648 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 881 : 3218824 720096856 0 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 880 : 3218824 48498920 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 879 : 3218824 99714832 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 878 : 3218824 680906808 0 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 877 : 3218824 48600456 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 876 : 3218824 91134000 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 875 : 3218824 631808728 0 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 861 : 3218824 0 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 860 : 3218824 22090152 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 844 : 3218824 20838928 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 833 : 3218824 20092624 0 0 0 0 0 0 0 
