kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v1-rodinia-3.6.sm_70.ptx 987 : 3225600 17467840 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 984 : 3218824 10026904 0 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 983 : 3218824 20689968 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 982 : 3218824 20818704 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 981 : 3218824 20226832 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 980 : 3218824 42102888 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 979 : 3218824 19401776 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 978 : 3218824 21699312 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 977 : 3218824 1878381308 0 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 976 : 3218824 29091176 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 975 : 3218824 19342800 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 974 : 3218824 2026640912 96 0 0 502754 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 973 : 3218824 2005591448 352 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 972 : 3218824 29250440 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 971 : 3218824 19414320 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 970 : 3218824 19843048 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 969 : 3218824 2033799008 352 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 968 : 3218824 32587496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 967 : 3218824 21183408 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 966 : 3218824 22566224 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 965 : 3218824 32894340 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 964 : 3218824 1585873172 0 0 0 502544 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 963 : 3218824 1859592208 416 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 962 : 3218824 50972360 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 961 : 3218824 41959408 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 960 : 3218824 1744807376 352 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 959 : 3218824 47449472 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 958 : 3218824 1631453016 384 0 0 402360 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 957 : 3218824 45297136 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 956 : 3218824 43428388 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 955 : 3218824 34090728 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 954 : 3218824 44871192 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 953 : 3218824 43775952 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 952 : 3218824 44030840 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 951 : 3218824 625964032 0 0 0 100996 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 950 : 3218824 34403528 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 949 : 3218824 34643508 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 948 : 3218824 25118768 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 947 : 3218824 34303956 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 946 : 3218824 33729816 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 945 : 3218824 36796140 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 944 : 3218824 1207033268 0 0 0 479178 100590 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 943 : 3218824 36037312 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 942 : 3218824 36101632 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 941 : 3218824 27167824 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 940 : 3218824 27052108 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 939 : 3218824 36027408 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 938 : 3218824 28418204 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 937 : 3218824 35748920 0 0 0 0 0 0 0 
